,title,jobFunction,industry
7263,Senior RPA Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
7811,Technical Project Manager,"['IT/Software Development', 'Project/Program Management']",['Information Technology Services']
5595,Senior PHP Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Internet/E-commerce']"
1739,Social Media & Analysis Intern,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Analyst/Research']","['Marketing and Advertising', 'Information Technology Services', 'Business Services - Other']"
8637,Technical Director - Alexandria,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
5474,Planning & Material Control Engineer,"['Logistics/Supply Chain', 'Manufacturing/Production']",['Manufacturing']
898,Social Media Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Education', 'Marketing and Advertising']"
3077,Furniture Installation Engineer,"['Installation/Maintenance/Repair', 'Engineering - Construction/Civil/Architecture']","['Furniture', 'Retail', 'Manufacturing']"
5829,Sales Representative ( Engineering ),"['Engineering - Mechanical/Electrical', 'Sales/Retail', 'Engineering - Construction/Civil/Architecture']",['Engineering Services']
7402,Back-End Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
6499,Telesales Executive,"['Customer Service/Support', 'Sales/Retail']","['Education', 'E-Learning', 'Training and Coaching']"
5279,Direct Sales Representative - Outdoor,"['Sales/Retail', 'Business Development']","['Information Technology Services', 'Marketing and Advertising', 'Education']"
8204,Medical Representative - Shubra El Khaima,"['R&D/Science', 'Medical/Healthcare', 'Pharmaceutical']","['Internet/E-commerce', 'Information Technology Services', 'Healthcare and Medical Services']"
1563,Sales Account Manager,"['Sales/Retail', 'IT/Software Development']",['Information Technology Services']
5814,Senior Creative Copywriter,['Writing/Editorial'],"['Health, Wellness and Fitness', 'Information Technology Services', 'Marketing and Advertising']"
6822,Head of Department - English,['Education/Teaching'],['Education']
7644,Senior Active Directory Security Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Telecommunications']"
4634,Senior Account Executive,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Sales/Retail']",['Marketing and Advertising']
4412,Cross Platform Mobile Application Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
8638,Digital Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Marketing and Advertising']
9738,Production Engineer (Plastic) - Alexandria,"['Engineering - Other', 'Manufacturing/Production']","['Real Estate/Property Management', 'Plastics', 'Construction - Residential & Commercial/Office']"
10089,Graphic Designer,['Creative/Design/Art'],['Healthcare and Medical Services']
5627,Property Consultant,['Sales/Retail'],['Real Estate/Property Management']
10634,Project Engineer,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering - Other']","['Environmental Services', 'Engineering Services', 'Construction - Industrial Facilities and Infrastructure']"
10452,Administrator,['Administration'],"['Media Production', 'Animation', 'Marketing and Advertising']"
5739,Marketing Executive- India,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Marketing and Advertising']
10542,Property Consultant,"['Sales/Retail', 'Customer Service/Support']","['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
9448,Customer Success Engineer (Cloud),"['Engineering - Telecom/Technology', 'Customer Service/Support', 'IT/Software Development']","['Consulting Services', 'Computer Software', 'Information Technology Services']"
6948,Sales Adviser - Facilities Management,"['Sales/Retail', 'Marketing/PR/Advertising', 'Administration']","['Sports', 'Marketing and Advertising', 'Information Technology Services']"
10027,Sales Manager,['Sales/Retail'],"['Information Technology Services', 'Marketing and Advertising']"
2213,Telemarketing Executive,"['Marketing/PR/Advertising', 'Sales/Retail']","['Information Technology Services', 'Marketing and Advertising', 'Computer Software']"
833,Purchasing Manager,"['Purchasing/Procurement', 'Engineering - Other', 'Logistics/Supply Chain']","['Construction - Residential & Commercial/Office', 'Construction - Industrial Facilities and Infrastructure']"
7746,Senior Front End Developer - Remotely,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
8698,Senior Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Graphic Design']"
6372,WordPress Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
3370,Quality Assurance Specialist - Alexandria,['Quality'],['Manufacturing']
9021,Secretary,"['Administration', 'Customer Service/Support']",['Marketing and Advertising']
4687,Senior PHP Developer - Codeigniter/Laravel,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Graphic Design', 'Internet/E-commerce', 'Computer Software']"
9867,Digital Marketing Sales Manager,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Sales/Retail']",['Marketing and Advertising']
1743,Senior Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Graphic Design', 'Computer Software', 'Information Technology Services']"
6391,Senior Local Purchasing Specialist,"['Logistics/Supply Chain', 'Purchasing/Procurement']",['Manufacturing']
9917,Call Center Specialist,['Customer Service/Support'],"['Internet/E-commerce', 'Information Technology Services', 'Healthcare and Medical Services']"
3229,Senior Social Media Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']",['Computer Software']
4049,Telesales Executive (US Account),"['Sales/Retail', 'Customer Service/Support']","['E-Learning', 'Education', 'Information Technology Services']"
9840,Sales Manager (Office Furniture),"['Business Development', 'Sales/Retail']","['Manufacturing', 'Furniture']"
8180,Senior Machine Learning Engineer (Python & NLP),"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
3274,Production Team Leader,"['Engineering - Other', 'Manufacturing/Production']","['FMCG', 'Automotive', 'Manufacturing']"
5196,Sales Specialist,['Sales/Retail'],['Marketing and Advertising']
930,Textile Designer And Developer,['Creative/Design/Art'],['Manufacturing']
3369,Sales Representative - Real Estate,['Sales/Retail'],['Real Estate/Property Management']
1197,Senior Procurement Engineer (Civil - Architecture),"['Engineering - Construction/Civil/Architecture', 'Purchasing/Procurement']","['Construction - Industrial Facilities and Infrastructure', 'Construction - Residential & Commercial/Office']"
9567,DevOps Admin,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
8132,Senior RPA Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
7550,Senior Full Stack Developer (PHP/Laravel) - Alexandria,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1429,Internal Audit Accountant,['Accounting/Finance'],"['Manufacturing', 'Engineering Services']"
7261,Internal Auditor,"['Administration', 'Legal', 'Accounting/Finance']","['Construction - Industrial Facilities and Infrastructure', 'Construction - Residential & Commercial/Office']"
7608,Software Testing Engineer,"['Quality', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
1153,Secretary - Beauty Care Clinic,['Administration'],['Marketing and Advertising']
3884,Office Manager,['Administration'],"['Management Consulting', 'Real Estate/Property Management']"
5033,Senior Marketing Executive - Abbassia,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Automotive', 'Apparel and Fashion', 'Real Estate/Property Management']"
2769,Senior SQL Server DBA,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Engineering Services']"
5204,Project Coordinator - Intern,['Project/Program Management'],"['Publishing and Printing', 'Marketing and Advertising', 'Market Research']"
3826,Back End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
10052,Outdoor Sales Representative - Hurghada,['Sales/Retail'],['Marketing and Advertising']
964,Content Creator / Developer,['Media/Journalism/Publishing'],['Education']
8067,E-Learning Specialist,"['Business Development', 'IT/Software Development', 'Customer Service/Support']",['Information Technology Services']
4898,Dentist - Endodontist,['Medical/Healthcare'],"['Medical Devices and Supplies', 'Healthcare and Medical Services']"
7785,A/R Accountant,['nan'],['Construction - Residential & Commercial/Office']
2698,Admin Coordinator/Specialist,['Administration'],['Education']
3501,Accountant,['Accounting/Finance'],['Education']
3880,Senior Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Computer Hardware']"
1483,Junior SharePoint Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Telecommunications', 'Internet/E-commerce']"
3111,Sr. Mobile Cross Platform Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
4111,Admin & Facility Supervisor,['Administration'],"['Construction - Industrial Facilities and Infrastructure', 'Manufacturing', 'Recreational Facilities and Services']"
6022,Product Act. & Promo Specialist - 6th Of October - Sales,['Sales/Retail'],"['Information Technology Services', 'Healthcare and Medical Services']"
6461,Fleet Maintenance Engineer,"['Engineering - Mechanical/Electrical', 'Installation/Maintenance/Repair']","['Furniture', 'Manufacturing', 'Retail']"
1426,Senior Sales Account Manager - Oil & Gas,"['Engineering - Mechanical/Electrical', 'Engineering - Oil & Gas/Energy', 'Sales/Retail']",['Information Technology Services']
2544,Social Media Specialist,"['Writing/Editorial', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Internet/E-commerce', 'Marketing and Advertising', 'Business Services - Other']"
4419,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
10665,Quality Manager,['Quality'],"['Textile and Clothing', 'Manufacturing']"
4414,Front Desk & Admin Assistant,['Administration'],['Real Estate/Property Management']
2178,Senior Mean Stack Node.JS & Angular Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Software', 'Information Technology Services']"
7132,Automation Sales Engineer - Minya,"['Engineering - Mechanical/Electrical', 'Sales/Retail']","['Electronics and Semiconductors', 'Engineering Services', 'Energy and Utilities']"
6669,Financial Manager - Auditing & Software,['Accounting/Finance'],"['Computer Software', 'Outsourcing/Offshoring']"
1057,Mechanical Site Engineer,['Engineering - Mechanical/Electrical'],"['Construction - Industrial Facilities and Infrastructure', 'Engineering Services']"
5009,Project Manager - Digital Products,"['Marketing/PR/Advertising', 'Project/Program Management']",['Marketing and Advertising']
10463,IT Administrator,"['IT/Software Development', 'Administration']","['Computer Networking', 'Computer and Network Security', 'Information Technology Services']"
3989,Admin Assistant,['Administration'],['Real Estate/Property Management']
8697,Azure Cloud Infrastructure Engineer,['Engineering - Telecom/Technology'],"['Food and Beverage Production', 'Computer Software']"
3946,Assistant Digital Marketing manager - Cairo Festival City Mall,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Real Estate/Property Management', 'Construction - Residential & Commercial/Office', 'Retail']"
8738,Assistant Manager - Government Relations - Real Estate,['Administration'],"['Retail', 'Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
1544,Medical Representative - Cairo,"['Pharmaceutical', 'Sales/Retail']","['Engineering Services', 'Import and Export', 'Business Supplies and Equipment']"
7743,Senior Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
9486,Senior Business Analyst,"['Analyst/Research', 'Quality', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
4918,HR Generalist- Females Only,['Human Resources'],"['Education', 'Consulting Services']"
5758,HR Specialist,['Human Resources'],"['Engineering Services', 'Computer Software', 'Human Resources']"
724,Team Lead Software Engineer (SD3),"['Project/Program Management', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
6615,Software Technical Support Agent,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Publishing and Printing']"
9593,Software QC Engineer,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
6594,Accountant,['Accounting/Finance'],"['Education', 'Information Technology Services']"
1127,Financial Software Consultant,"['IT/Software Development', 'Accounting/Finance']",['Computer Software']
4156,Embedded Software Engineer,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'IT/Software Development']",['Computer Software']
6162,Project Manager - Architect,"['Project/Program Management', 'Engineering - Construction/Civil/Architecture']",['Construction - Residential & Commercial/Office']
5747,Senior Financial Analyst | AF Retail | Riyadh,"['Accounting/Finance', 'Analyst/Research']","['Retail', 'Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
1586,Senior iOS Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Internet/E-commerce', 'Information Technology Services', 'Business Services - Other']"
5504,Senior Front-End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Transportation', 'Information Technology Services']"
4961,Ionic Application Developer - Hybrid Mobile Applications,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Business Services - Other', 'Information Technology Services', 'Computer Software']"
6308,Front Desk Receptionist,['Administration'],['Education']
1561,CEO Assistant,['Administration'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
7816,Outdoor Sales Executive,"['Customer Service/Support', 'Sales/Retail']",['Marketing and Advertising']
10387,Senior Software Quality Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Quality']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
4394,HR Recruiter,['Human Resources'],"['Internet/E-commerce', 'Information Technology Services']"
9611,Indoor Sales Executive,"['Creative/Design/Art', 'Sales/Retail']","['Manufacturing', 'Architectural and Design Services', 'Furniture']"
6560,Senior Odoo Implementer,"['Accounting/Finance', 'IT/Software Development']","['Computer Software', 'Information Technology Services', 'Marketing and Advertising']"
3817,Senior DevOps Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Telecommunications']"
5025,Call Center Manager,"['Customer Service/Support', 'Pharmaceutical']","['Telecommunications', 'Pharmaceuticals', 'Healthcare and Medical Services']"
3519,Senior Sales Account Manager - IT,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Sales/Retail']",['Information Technology Services']
4681,Full Stack Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
6791,Senior MVC .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
7144,Senior Game Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Research', 'Engineering Services', 'Computer Software']"
7381,Scrum Master,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Project/Program Management']","['Information Technology Services', 'Computer Software']"
3994,Senior Logistics Specialist (IT/Telecom),['Logistics/Supply Chain'],['Information Technology Services']
9014,Dentist Specialist,['Medical/Healthcare'],['Healthcare and Medical Services']
5521,Pre Sales Technical Consultant - French,['Sales/Retail'],"['Electronics and Semiconductors', 'Computer Software', 'Human Resources']"
8565,Writer/Editor,"['Media/Journalism/Publishing', 'Writing/Editorial']","['Media Production', 'Marketing and Advertising']"
2605,Recruitment Team Leader,['Human Resources'],['Marketing and Advertising']
4813,Art Director (Events),['Creative/Design/Art'],['Marketing and Advertising']
1392,Office Manager And Customer Service Representative,"['Administration', 'Customer Service/Support']","['Engineering Services', 'Information Technology Services']"
7382,Sales Engineer,"['Engineering - Construction/Civil/Architecture', 'Sales/Retail']","['Engineering Services', 'Construction - Industrial Facilities and Infrastructure', 'Chemicals']"
752,Oracle HCM Consultant,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
8557,Sales Logistics Officer - French,"['Sales/Retail', 'Logistics/Supply Chain']",['Computer Software']
9434,Network Security Architect,"['Engineering - Telecom/Technology', 'Engineering - Construction/Civil/Architecture', 'Installation/Maintenance/Repair']",['Information Technology Services']
7690,Senior Social Media Marketing Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Information Technology Services', 'Internet/E-commerce']"
9295,DevOps Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
1777,Outdoor Sales Representative - Alexandria,"['Customer Service/Support', 'Sales/Retail']","['Computer Software', 'Graphic Design', 'Marketing and Advertising']"
17,Senior Website Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Insurance', 'Computer Software']"
1770,Sales Representative - Real Estate,"['Sales/Retail', 'Customer Service/Support']",['Real Estate/Property Management']
1888,Scrum Master,"['Project/Program Management', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
8784,Sales Account Manager,['Sales/Retail'],"['Architectural and Design Services', 'Marketing and Advertising']"
1642,Psychologist,['Medical/Healthcare'],['Education']
9272,Customer Success Support Manager,"['Engineering - Telecom/Technology', 'Customer Service/Support', 'IT/Software Development']","['Consulting Services', 'Computer Software', 'Information Technology Services']"
2316,Sales Team Leader,"['Sales/Retail', 'Operations/Management']",['Real Estate/Property Management']
6206,Budgeting Supervisor,['Accounting/Finance'],['Real Estate/Property Management']
132,Treasury Accountant,['Accounting/Finance'],['Construction - Residential & Commercial/Office']
5807,Senior React Native Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Marketing and Advertising', 'Computer Software', 'Graphic Design']"
5865,Graphic Designer (GUC Graduate),"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Creative/Design/Art']",['Marketing and Advertising']
6319,Telesales Agent,"['Sales/Retail', 'Customer Service/Support']",['Real Estate/Property Management']
4536,Lab Technician,['R&D/Science'],['Education']
8724,Digital Marketing & Sales Internship,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Sales/Retail']","['Publishing and Printing', 'Writing and Editing', 'Marketing and Advertising']"
1095,Senior PHP Full Stack Web Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Engineering Services', 'Computer Software', 'Research']"
7762,Full Time Translator - Tanta,['Writing/Editorial'],['Computer Software']
9546,UI/UX Designer - Alexandria,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
527,Operations Head (E-Pharmacy),"['Pharmaceutical', 'Operations/Management']","['Information Technology Services', 'Internet/E-commerce', 'Healthcare and Medical Services']"
10106,React Native Mobile Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Internet/E-commerce', 'Computer Software']"
2002,Radio Programming Director,['Media/Journalism/Publishing'],"['Information Technology Services', 'Media Production', 'Online Media']"
4525,Graphic Designer - Tanta,['Creative/Design/Art'],"['Management Consulting', 'Marketing and Advertising']"
168,Administration & Financial Manager,"['Accounting/Finance', 'Administration', 'Operations/Management']",['Real Estate/Property Management']
7037,Professional Sales Associate,"['Sales/Retail', 'Marketing/PR/Advertising', 'Business Development']","['Internet/E-commerce', 'Real Estate/Property Management', 'Marketing and Advertising']"
9533,Accountant - Construction,['Accounting/Finance'],"['Real Estate/Property Management', 'Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
9960,Brand Manager,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Information Technology Services', 'Marketing and Advertising']"
1919,Human Resource Specialist,['Human Resources'],"['Human Resources', 'Manufacturing', 'Textile and Clothing']"
701,Senior Digital Media Strategist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']",['Information Technology Services']
5431,Full-Stack Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software', 'Marketing and Advertising']"
5493,Executive Secretary,['Administration'],"['Engineering Services', 'Architectural and Design Services', 'Construction - Residential & Commercial/Office']"
4582,Mechanical Maintenance Engineer,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']","['Engineering Services', 'Manufacturing']"
6300,Payroll and Personnel Specialist,['Human Resources'],"['Engineering Services', 'Manufacturing']"
4982,UX Designer In India - GT,"['IT/Software Development', 'Creative/Design/Art']","['Non-Profit Organizations', 'Computer Software', 'Graphic Design']"
3065,Accounts Payable Accountant,['Accounting/Finance'],"['Business Services - Other', 'Real Estate/Property Management', 'Marketing and Advertising']"
8350,Graphic Designer,['Creative/Design/Art'],"['Marketing and Advertising', 'Computer Software']"
2766,Senior .NET Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
6449,Software Tester - Monufya,"['Quality', 'Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
772,Customer Support Representative,['Customer Service/Support'],['Computer Software']
1298,Software Testing / Quality Control Engineer - Mansoura,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Computer Software']
4868,SEO & Adwords Digital Marketing Specialist - Alexandria,"['IT/Software Development', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Internet/E-commerce', 'Marketing and Advertising']"
1352,Senior ERP Financial Application Consultant,"['Accounting/Finance', 'Strategy/Consulting', 'IT/Software Development']",['Computer Software']
7135,Sales Operations coordinator -Automotive,"['Sales/Retail', 'Operations/Management']","['Manufacturing', 'Automotive']"
8482,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Computer Software']
1287,AngularJS Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Computer Software']
2998,Senior Web Application Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
7590,IT Specialist,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Installation/Maintenance/Repair']","['Computer Software', 'Engineering Services', 'Information Technology Services']"
8928,Recruitment Specialist - Alexandria,['Human Resources'],"['Travel and Tourism', 'Internet/E-commerce', 'Information Technology Services']"
7588,Sales Team Leader - Alexandria,['Sales/Retail'],"['Marketing and Advertising', 'Computer Software']"
4828,Engineering Recruitment Manager,['Human Resources'],['Healthcare and Medical Services']
2013,Senior Mean Stack Node.js & Angular Developer (R&D),"['IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
5273,Customer Service Engineer,"['Engineering - Mechanical/Electrical', 'Customer Service/Support', 'Installation/Maintenance/Repair']",['Information Technology Services']
5079,Java Technical Lead,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
5214,CEO Personal Assistant - Mohandessin,['Administration'],"['Information Technology Services', 'Financial Services', 'Business Services - Other']"
3887,Full Stack Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Computer Software']"
10436,Project Manager,['Project/Program Management'],"['Information Technology Services', 'Computer and Network Security']"
2147,Senior Accountant Receivable and Credit Control,"['Accounting/Finance', 'Analyst/Research']","['Engineering Services', 'Accounting and Auditing Services']"
4565,Metallurgy Engineer,['Engineering - Other'],"['Construction - Industrial Facilities and Infrastructure', 'Chemicals', 'Manufacturing']"
7089,ERP Analyst,"['IT/Software Development', 'Analyst/Research']","['Outsourcing/Offshoring', 'Telecommunications', 'Information Technology Services']"
8929,Mid Senior Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Information Technology Services', 'Graphic Design', 'Computer Software']"
9211,Kickstart [MARKETING] Content Production Twimbit - GE/A.A,"['Marketing/PR/Advertising', 'Business Development']","['Graphic Design', 'Business Services - Other', 'Marketing and Advertising']"
5128,Social Media Manager,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Marketing and Advertising', 'Public Relations and Communications']"
449,Senior Sales / Team Leader,['Sales/Retail'],['Real Estate/Property Management']
7008,Graphic Designer,['Creative/Design/Art'],"['Manufacturing', 'Marketing and Advertising']"
6114,Graphic Designer,['Creative/Design/Art'],"['Real Estate/Property Management', 'Construction - Residential & Commercial/Office']"
8811,Network Engineer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
10305,Software Quality Control Team leader - New Cairo,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Quality']",['Computer Software']
6952,Senior Maintenance Engineer - Electrical Power,"['Installation/Maintenance/Repair', 'Engineering - Mechanical/Electrical']",['Manufacturing']
7800,Art Teacher,['Education/Teaching'],['Education']
810,Drupal Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']","['Computer Networking', 'Information Technology Services', 'Computer Software']"
3761,Senior Digital Marketing Executive,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising', 'Business Development']","['Internet/E-commerce', 'Information Technology Services', 'Business Services - Other']"
7737,Marketing Executive Internship,"['Media/Journalism/Publishing', 'Writing/Editorial', 'Marketing/PR/Advertising']","['Travel and Tourism', 'Writing and Editing', 'Marketing and Advertising']"
4484,Senior Business Development Specialist,['Business Development'],"['Information Technology Services', 'Transportation']"
10039,Senior Production Engineer,"['Engineering - Mechanical/Electrical', 'Manufacturing/Production']",['Manufacturing']
2073,Senior C++ Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
7021,General Dentist - India,['Medical/Healthcare'],['Healthcare and Medical Services']
7584,Telesales Specialist,"['Sales/Retail', 'Customer Service/Support']",['Marketing and Advertising']
7324,Civil Technical Office Engineer,['Engineering - Construction/Civil/Architecture'],"['Construction - Residential & Commercial/Office', 'Real Estate/Property Management']"
1477,Senior Digital Marketing Executive,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Information Technology Services', 'Marketing and Advertising']"
1790,Senior .NET Developer,"['IT/Software Development', 'Engineering - Telecom/Technology']",['Information Technology Services']
2333,Software Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Computer Networking']"
2008,Senior Full-Stack .NET/Angular Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer and Network Security', 'Computer Networking', 'Computer Software']"
682,Java Technical Lead,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['Information Technology Services', 'Computer Software']"
7482,IT Technical Support,"['Installation/Maintenance/Repair', 'Engineering - Telecom/Technology', 'IT/Software Development']","['Insurance', 'Healthcare and Medical Services']"
4978,Senior Web Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Computer Software', 'Information Technology Services']"
2859,Regional AP Accountant,['Accounting/Finance'],['Information Technology Services']
8206,Medical Approval officer - Rotational Shifts,"['Administration', 'Medical/Healthcare', 'Pharmaceutical']","['Insurance', 'Healthcare and Medical Services']"
57,2D Graphic Designer,"['Media/Journalism/Publishing', 'Creative/Design/Art']","['Pharmaceuticals', 'Marketing and Advertising', 'Graphic Design']"
10769,Marketing Communication Specialist,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing']","['Manufacturing', 'Engineering Services']"
4934,Senior Web Designer UI/UX,"['IT/Software Development', 'Creative/Design/Art']","['Internet/E-commerce', 'Information Technology Services', 'Computer Software']"
5554,System Administrator (Windows),"['IT/Software Development', 'Installation/Maintenance/Repair', 'Engineering - Telecom/Technology']",['Computer Software']
2399,Quality Assurance Manager,"['Quality', 'Operations/Management']",['Manufacturing']
4376,Secretary,['Administration'],"['Architectural and Design Services', 'Marketing and Advertising']"
46,SEO Specialist,"['Media/Journalism/Publishing', 'Marketing/PR/Advertising']","['Marketing and Advertising', 'Information Technology Services']"
30,Computer Programming Instructor,"['Training/Instructor', 'Education/Teaching']",['Education']
4157,Foreign English Instructor - Alexandria,"['Education/Teaching', 'Training/Instructor']","['Education', 'Training and Coaching']"
8957,Executive Coordinator - Assiut,['Administration'],"['Telecommunications', 'Information Technology Services']"
5544,Front-End Engineer,"['Engineering - Telecom/Technology', 'IT/Software Development']",['Information Technology Services']
1468,Medical Content Quality Control Specialist - Alexandria,"['Pharmaceutical', 'Quality', 'Medical/Healthcare']","['Pharmaceuticals', 'Marketing and Advertising', 'Healthcare and Medical Services']"
1665,Telesales Executive,"['Customer Service/Support', 'Sales/Retail']","['E-Learning', 'Training and Coaching', 'Education']"
1416,Senior Product Designer,"['Engineering - Telecom/Technology', 'IT/Software Development', 'Creative/Design/Art']","['Computer Software', 'Information Technology Services']"
10498,Front End Developer,"['Engineering - Telecom/Technology', 'IT/Software Development']","['Marketing and Advertising', 'Computer Software']"
2358,Admin Coordinator,['Administration'],"['Computer Software', 'Information Technology Services', 'Business Services - Other']"
6264,Site Engineer -Steel Structure,['Engineering - Construction/Civil/Architecture'],"['Engineering Services', 'Construction - Industrial Facilities and Infrastructure']"
